hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,112.3078,365009,3015440,1.16235084003386,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,58.6985,516050,660381,-1.01741579542531,0,Argentina,Buenos Aires,-34.5875 -58.6725
6,[200.89.164.65],1,67.2730,556500,767162,-0.200464604101054,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,61.5232,420380,776110,-0.388652748760693,0,Argentina,,-34.0000 -64.0000
8,[64.214.130.253],1,56.6249,509079,1112800,-0.377466009780242,0,United States,,38.0000 -97.0000
9,[67.17.74.42],1,297.7703,2763510,3221481,2.85497867569779,1,United States,,38.0000 -97.0000
10,[146.82.54.2],1,275.2320,2701359,2844510,-0.609214777384665,1,United States,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,309.3569,3034060,3239141,0.135208508812782,1,Russian Federation,,60.0000 100.0000
12,[194.190.254.118],1,307.8073,2915621,3269360,-0.333471843222592,1,Russian Federation,,60.0000 100.0000
13,[93.180.0.172],1,324.1020,3058381,3433630,-0.099039046523975,1,Russian Federation,Moscow,55.7522 37.6156
14,[188.44.33.41],1,306.2080,2947619,3317728,-0.548199425832214,1,Russian Federation,Moscow,55.7522 37.6156
15,[188.44.33.22],1,328.9231,3103230,3511891,-0.0146898522196986,1,Russian Federation,Moscow,55.7522 37.6156
16,[93.180.0.18],1,309.8322,3015709,3164201,-0.563923921293991,1,Russian Federation,Moscow,55.7522 37.6156
